エリア,発電事業者,発電所コード,発電所名,発電形式,ユニット名,認可出力,停止区分,種別,低下量,停止日時,復旧見通し,復旧予定日,停止原因,最終更新日時,北緯,東経,end
関西,関西電力株式会社,68H42,赤穂発電所,火力（石油）,２号機,600000,計画停止,停止・設備故障,,2024/2/24 0:00,あり,2024/5/26,発電機作業,2024/3/6 13:49,34.7550685,134.3902271,
九州,九州電力株式会社,93062,新大分発電所,火力（ガス）,２号系列第３軸,230000,計画停止,停止・定期検査等,,2024/2/29 20:30,あり,2024/3/18,自主点検,2024/3/6 10:01,33.2707147,131.7039795,
関西,電源開発,68D30,電源開発高砂火力発電所,火力（石炭）,1号機,250000,計画停止,停止・その他,,2023/12/30 0:00,あり,2024/3/18,運用停止,2024/3/5 14:40,34.754204,134.766358,
中国,中国電力株式会社,76301,玉島発電所第１号機,火力（ガス）,１号機,350000,計画停止,停止・設備故障,,2023/3/4 19:32,なし,,排水処理装置不調,2024/3/4 19:43,34.5161225,133.6870665,
関西,相生バイオエナジー株式会社,6837V,相生バイオマス発電所,その他,単独,200000,計画停止,停止・その他,,2024/2/15 0:00,あり,2024/3/15,ボイラ灰出し作業,2024/3/4 13:55,34.803968,134.4683474,
中部,株式会社JERA,47195,碧南火力発電所,火力（石炭）,５号機,1000000,計画停止,停止・設備故障,,2024/2/9 10:00,あり,2024/3/1,ボイラ関連設備,2024/3/1 16:24,34.8378404,136.9627701,
東京,株式会社JERA,GB633,東扇島火力発電所２号機,火力（ガス）,東扇島２号,1000000,計画停止,停止・設備故障,,2024/2/28 22:00,あり,2024/3/1,ボイラ関連設備,2024/3/1 12:36,35.4984084,139.7579871,
中国,瀬戸内共同火力株式会社,76412,倉敷共同発電所,火力（石炭）,５号機,156000,計画停止,停止・その他,,2024/2/27 17:00,あり,2024/3/1,設備点検,2024/2/29 17:52,34.489911,133.719176,
中部,株式会社JERA,45137,新名古屋火力発電所,火力（ガス）,７－４号機,243000,計画停止,停止・定期検査等,,2024/2/3 0:00,あり,2024/4/20,定検,2024/2/29 14:35,35.0661527,136.8795429,
関西,関西電力株式会社,62A47,南港発電所,火力（ガス）,２号機,600000,計画停止,停止・設備故障,,2024/2/27 0:00,あり,2024/2/28,停止・設備故障,2024/2/28 18:15,34.6177617,135.4043667,
関西,関西電力株式会社,68H41,赤穂発電所,火力（石油）,１号機,600000,計画停止,停止・設備故障,,2023/12/26 20:00,あり,2024/3/13,発電機作業のため,2024/2/28 15:42,34.7550685,134.3902271,
沖縄,沖縄電力株式会社,5302,石川2号,火力（石油）,2号機,125000,計画外停止,停止・設備故障,,2024/1/29 10:46,あり,2024/2/28,ボイラ設備の故障,2024/2/28 13:26,36.5015193,136.5027657,
関西,関西電力株式会社,63D42,舞鶴発電所,火力（石炭）,２号機,900000,出力低下,低下・その他,231000,2024/2/28 11:00,あり,2024/2/29,定検前のバンカ焚き切り・クーリング停止  最大低下量：900000kW  最小低下量：0kW,2024/2/28 9:56,35.525473,135.3420766,
東京,鹿島共同火力株式会社,60413,鹿島共同発電所,火力（ガス）,５号機,300000,計画停止,停止・燃料制約,,2024/2/28 6:36,あり,2024/2/29,燃料調整のため,2024/2/28 7:53,35.9410905,140.6881451,
東京,ＪＦＥスチール株式会社,30509,ＪＦＥスチール株式会社川鉄千葉クリーンパワーステーション,火力（ガス）,ＪＦＥ千葉ＩＰＰ,466100,計画外停止,停止・設備故障,,2024/2/28 3:00,あり,2024/2/28,設備点検のため,2024/2/28 3:15,35.6074041,140.1065366,
中部,中山名古屋共同発電株式会社,46114,名古屋第二発電所,火力（石炭）,1号機,110000,計画停止,停止・その他,,2024/2/23 18:00,あり,2024/3/16,補器点検補修,2024/2/27 12:16,34.844052,136.926702,
中部,株式会社JERA,45141,新名古屋火力発電所,火力（ガス）,８－２号機,400000,計画停止,停止・その他,,2024/2/27 13:00,あり,2024/2/27,確認試験,2024/2/27 10:31,35.0661527,136.8795429,
中部,株式会社JERA,42299,川越火力発電所,火力（ガス）,４－２号機,243000,計画停止,停止・設備故障,,2024/2/26 14:30,あり,2024/2/26,ガスタービン関連設備,2024/2/26 18:47,35.0076322,136.6872912,
中部,株式会社JERA,47194,碧南火力発電所,火力（石炭）,４号機,1000000,計画停止,停止・定期検査等,,2024/2/15 0:00,あり,2024/3/7,ボイラ関連設備,2024/2/26 16:13,34.8378404,136.9627701,
中部,株式会社JERA,42001,川越火力発電所,火力（ガス）,１号機,700000,計画停止,停止・設備故障,,2024/2/26 14:30,あり,2024/2/26,タービン関連設備,2024/2/26 12:40,35.0076322,136.6872912,
関西,関西電力株式会社,62A45,堺港発電所,火力（ガス）,５号機,400000,計画停止,停止・設備故障,,2024/2/26 10:55,あり,2024/2/26,停止・設備故障,2024/2/26 12:28,34.5678602,135.440578,
中部,株式会社JERA,42299,川越火力発電所,火力（ガス）,４－２号機,243000,計画停止,停止・その他,,2024/2/26 5:50,あり,2024/2/26,ガスタービン関連設備,2024/2/26 12:00,35.0076322,136.6872912,
中部,株式会社JERA,42001,川越火力発電所,火力（ガス）,１号機,700000,出力低下,低下・その他,350000,2024/2/25 21:10,あり,2024/2/26,タービン関連設備,2024/2/26 11:50,35.0076322,136.6872912,
沖縄,沖縄電力株式会社,9201,金武1号,火力（石炭）,1号機,220000,計画停止,停止・定期検査等,,2023/10/27 0:00,あり,2024/2/29,定検,2024/2/26 9:21,26.4559409,127.9259105,
沖縄,沖縄電力株式会社,9201,金武1号,火力（石炭）,1号機,220000,計画停止,停止・定期検査等,,2023/10/27 0:00,あり,2024/2/29,定検,2024/2/26 9:21,26.4561898,127.9259867,
中部,株式会社JERA,47192,碧南火力発電所,火力（石炭）,２号機,700000,出力低下,低下・その他,200000,2024/2/25 18:30,あり,2024/2/26,ボイラ関連設備,2024/2/25 23:38,34.8378404,136.9627701,
中部,株式会社JERA,42001,川越火力発電所,火力（ガス）,１号機,700000,出力低下,低下・その他,200000,2024/2/25 18:25,あり,2024/2/25,タービン関連設備,2024/2/25 21:00,35.0076322,136.6872912,
東京,君津共同火力株式会社,6065330508,君津共同火力株式会社君津共同発電所,火力（ガス）,6号機,152900,計画停止,停止・燃料制約,,2024/2/24 7:00,あり,2024/2/26,運用停止,2024/2/25 19:32,35.3620056,139.8606315,
東京,君津共同火力株式会社,6065330508,君津共同火力株式会社君津共同発電所,火力（ガス）,5号機,300000,出力低下,低下・燃料制約,225000,2024/2/24 6:00,あり,2024/2/25,燃料制約  抑制最大値　225000kW  抑制最小値　185000kW,2024/2/25 19:31,35.3620056,139.8606315,
東京,株式会社JERA,GB553,常陸那珂火力発電所２号機,火力（石炭）,常陸那珂２号,1000000,計画停止,停止・設備故障,,2024/2/25 4:00,なし,,ボイラ設備関連,2024/2/25 2:06,36.4362995,140.6140683,
中部,株式会社JERA,42290,川越火力発電所,火力（ガス）,２号機,700000,計画停止,停止・その他,,2024/2/20 22:25,あり,2024/2/24,タービン関連設備,2024/2/24 22:59,35.0076322,136.6872912,
北陸,北陸電力株式会社,52314,北陸電力 富山新港火力発電所,火力（ガス）,2号機,500000,出力低下,低下・送電線等制約,288400,2024/2/25 11:00,あり,2024/2/25,系統制約  最大低下量：500000kW  最小低下量：0kW,2024/2/24 7:06,36.7627507,137.1269738,
北陸,北陸電力株式会社,52314,北陸電力 富山新港火力発電所,火力（ガス）,2号機,500000,出力低下,低下・送電線等制約,312200,2024/2/24 0:00,あり,2024/2/24,系統制約  最大低下量：500000kW  最小低下量：0kW,2024/2/23 7:00,36.7627507,137.1269738,
中部,株式会社JERA,42001,川越火力発電所,火力（ガス）,１号機,700000,計画停止,停止・定期検査等,,2024/2/23 12:00,あり,2024/2/24,タービン関連設備,2024/2/22 16:26,35.0076322,136.6872912,
四国,電源開発,83251,電源開発橘湾火力発電所,火力（石炭）,1号機,1050000,計画停止,停止・設備故障,,2024/2/15 17:35,なし,,TWA-23-117  高温再熱蒸気管リーク補修,2024/2/22 16:11,33.85667,134.651201,
北海道,北海道電力株式会社,10213,伊達発電所,火力（石油）,２号機,350000,出力低下,低下・その他,175000,2024/2/26 0:00,あり,2024/3/31,最大低下量：350000kW 最低低下量：0kW 平均低下量：175000kW 休止前計画運転,2024/2/22 14:21,42.4829307,140.828631,
東北,糸魚川発電株式会社,51842,糸魚川発電所,火力（石炭）,単独,149000,計画停止,停止・定期検査等,,2024/2/29 20:00,あり,2024/7/6,定期点検(法定対象外),2024/2/22 13:41,37.0279059,137.8501865,
中部,株式会社JERA,45136,新名古屋火力発電所,火力（ガス）,７－３号機,243000,計画停止,停止・定期検査等,,2024/2/24 7:00,あり,2024/2/24,ボイラ関連設備,2024/2/22 11:23,35.0661527,136.8795429,
関西,関西電力株式会社,6.80E+01,奥多々良木発電所,水力,６号機,360000,計画停止,停止・その他,,2024/2/22 5:30,あり,2024/2/22,発電機作業のため,2024/2/22 5:30,35.236933,134.832166,
関西,関西電力株式会社,6.80E+01,奥多々良木発電所,水力,６号機,360000,計画外停止,停止・設備故障,,2024/2/22 1:44,あり,2024/2/22,発電機作業のため,2024/2/22 2:51,35.236933,134.832166,
北海道,北海道電力株式会社,10019,石狩湾新港発電所,火力（ガス）,１号機,569400,出力低下,低下・その他,344400,2024/2/21 0:45,あり,2024/2/21,最大低下量　359400kW  最小低下量　329400kW  平均低下量　344400kW  タービン設備不具合,2024/2/21 20:46,43.1930762,141.275837,
東京,株式会社JERA,GB573,川崎火力発電所１号系列２軸,火力（ガス）,川崎１－２軸,500000,計画外停止,停止・設備故障,,2024/2/16 13:00,あり,2024/2/16,タービン関連設備,2024/2/21 17:00,35.5124341,139.7622072,
九州,九州電力株式会社,98037,小丸川発電所,水力,１号機,300000,計画停止,停止・その他,,2024/2/29 17:00,あり,2024/2/29,小丸川発電所　２号ポンプ水車発電電動機解体修繕工事に伴う波及停止,2024/2/21 14:07,32.2419365,131.3905258,
東京,株式会社JERA,GB563,広野火力発電所５号機,火力（石炭）,広野５号,600000,計画停止,停止・設備故障,,2024/2/21 1:30,あり,2024/2/23,ボイラ関連設備,2024/2/21 11:10,37.2311154,141.0143213,
中国,中国電力株式会社,7B291,三隅発電所第２号機,火力（石炭）,２号機,1000000,出力低下,低下・設備故障,293182,2024/2/22 2:30,あり,2024/2/23,送炭系統機器修理  最大低下量：300000kW  最小低下量：0kW  平均低下量：293182kW,2024/2/21 8:11,34.7789247,131.9197247,
中国,中国電力株式会社,73001,三隅発電所第１号機,火力（石炭）,１号機,1000000,出力低下,低下・設備故障,293182,2024/2/22 2:30,あり,2024/2/23,送炭系統機器修理  最大低下量：300000kW  最小低下量：0kW  平均低下量：293182kW,2024/2/21 8:11,34.7789247,131.9197247,
東京,鹿島共同火力株式会社,60413,鹿島共同発電所,火力（ガス）,５号機,300000,計画停止,停止・燃料制約,,2024/2/21 5:47,あり,2024/2/23,燃料調整の為,2024/2/21 6:52,35.9410905,140.6881451,
中部,電源開発,48001,電源開発新豊根発電所（中部）,水力,5号機,225000,計画停止,停止・その他,,2024/2/20 16:00,あり,2024/2/21,自然現象（下池：佐久間ダム出水）による発電制約,2024/2/20 17:05,35.1317804,137.7894973,
中部,電源開発,48001,電源開発新豊根発電所（中部）,水力,4号機,225000,計画停止,停止・その他,,2024/2/20 16:00,あり,2024/2/21,自然現象（下池：佐久間ダム出水）による発電制約,2024/2/20 17:04,35.1317804,137.7894973,
中部,電源開発,48001,電源開発新豊根発電所（中部）,水力,3号機,225000,計画停止,停止・その他,,2024/2/20 16:00,あり,2024/2/21,自然現象（下池：佐久間ダム出水）による発電制約,2024/2/20 17:03,35.1317804,137.7894973,
中部,電源開発,48001,電源開発新豊根発電所（中部）,水力,2号機,225000,計画停止,停止・その他,,2024/2/20 16:00,あり,2024/2/21,自然現象（下池：佐久間ダム出水）による発電制約,2024/2/20 17:02,35.1317804,137.7894973,
中部,電源開発,48001,電源開発新豊根発電所（中部）,水力,1号機,225000,計画停止,停止・その他,,2024/2/20 16:00,あり,2024/2/21,自然現象（下池：佐久間ダム出水）による発電制約,2024/2/20 17:01,35.1317804,137.7894973,
中国,中国電力株式会社,7B291,三隅発電所第２号機,火力（石炭）,２号機,1000000,出力低下,低下・その他,206250,2024/2/20 0:00,あり,2024/2/20,燃焼試験  最大低下量：300000kW  最小低下量：0kW,2024/2/20 16:49,34.7789247,131.9197247,
中部,株式会社JERA,47192,碧南火力発電所,火力（石炭）,２号機,700000,計画停止,停止・設備故障,,2024/2/19 10:00,あり,2024/2/23,タービン関連設備,2024/2/20 15:52,34.8378404,136.9627701,
東京,株式会社JERA,GB583,富津火力発電所１号系列３軸,火力（ガス）,富津１－３軸,167000,計画停止,停止・設備故障,,2024/2/14 12:00,あり,2024/2/19,ボイラ関連設備,2024/2/19 17:54,35.3040598,139.8571263,
中国,中国電力株式会社,71203,新小野田発電所第２号機,火力（石炭）,２号機,500000,計画停止,停止・設備故障,,2024/2/3 2:00,あり,2024/2/21,・機器修理,2024/2/19 17:54,33.9682548,131.1639246,
東北,株式会社JERA,4B189,上越火力発電所,火力（ガス）,１－１号機,595000,計画外停止,停止・設備故障,,2024/2/6 1:03,あり,2024/5/5,電気関連設備,2024/2/19 15:44,37.2058481,138.2783907,
九州,戸畑共同火力株式会社,65749,戸畑共同発電所,火力（石炭）,6号機,149000,計画停止,停止・定期検査等,,2024/1/16 0:00,あり,2024/4/27,定期検査,2024/2/19 13:22,33.9267321,130.8476386,
東京,鹿島共同火力株式会社,60413,鹿島共同発電所,火力（ガス）,５号機,300000,計画外停止,停止・燃料制約,,2024/2/18 12:41,あり,2024/2/19,燃料調整の為,2024/2/18 12:42,35.9410905,140.6881451,
関西,関西電力株式会社,68J45,姫路第一発電所,火力（ガス）,５号機,729000,計画停止,停止・設備故障,,2024/2/18 4:00,あり,2024/2/18,発電機作業,2024/2/18 4:14,34.7736102,134.6670454,
中国,中国電力株式会社,7B291,三隅発電所第２号機,火力（石炭）,２号機,1000000,出力低下,低下・その他,130000,2024/2/18 9:00,あり,2024/2/18,設備運用に伴う制約　　最大低下量：300000kW　　最小低下量：0000kW　　平均低下量：130000kW,2024/2/17 11:35,34.7789247,131.9197247,
関西,関西電力株式会社,68J45,姫路第一発電所,火力（ガス）,５号機,729000,計画停止,停止・設備故障,,2024/2/17 4:00,あり,2024/2/17,発電機作業,2024/2/17 4:05,34.7736102,134.6670454,
中国,中国電力株式会社,7B291,三隅発電所第２号機,火力（石炭）,２号機,1000000,出力低下,低下・その他,262500,2024/2/17 9:00,あり,2024/2/17,設備運用に伴う制約  最大低下量：300000kW  最小低下量：75000kW  平均低下量：262500kW,2024/2/16 16:49,34.7789247,131.9197247,
九州,九州電力株式会社,91062,苅田発電所,火力（石炭）,新１号機,360000,計画停止,停止・定期検査等,,2024/2/16 14:00,なし,,自主点検,2024/2/16 14:07,33.7867964,130.9969757,
東京,ＪＦＥスチール株式会社,30509,ＪＦＥスチール株式会社 東日本製鉄所(千葉地区) 西発電所,火力（ガス）,西発電所４号機ガスタービン,143680,計画停止,停止・定期検査等,,2024/2/29 23:00,あり,2024/3/19,設備点検の為,2024/2/16 13:54,35.5705035,140.0881838,
中国,中国電力株式会社,74209,柳井発電所第１号系列下位,火力（ガス）,１－１号,131000,計画停止,停止・設備故障,,2024/2/18 4:00,あり,2024/2/18,海水系統設備不調修理,2024/2/16 13:13,33.9542081,132.126139,
中国,中国電力株式会社,7B291,三隅発電所第２号機,火力（石炭）,２号機,1000000,出力低下,低下・その他,257143,2024/2/16 9:30,あり,2024/2/16,設備運用に伴う制約　　最大低下量：300000kW　　最小低下量：75000kW　　平均低下量：257143kW,2024/2/15 20:05,34.7789247,131.9197247,
東京,鹿島共同火力株式会社,60413,鹿島共同発電所,火力（ガス）,５号機,300000,計画停止,停止・燃料制約,,2024/2/28 4:45,あり,2024/2/29,燃料調整の為,2024/2/15 17:39,35.9410905,140.6881451,
中部,株式会社JERA,42294,川越火力発電所,火力（ガス）,３－４号機,243000,計画停止,停止・定期検査等,,2024/2/15 19:00,あり,2024/2/16,ボイラ関連設備,2024/2/15 13:58,35.0076322,136.6872912,
中国,電源開発,75202,電源開発竹原火力発電所３号機,火力（石炭）,3号機,700000,計画停止,停止・設備故障,,2024/2/10 3:00,あり,2024/2/18,安全弁シートリーク補修  当社管理番号：TRA-23-133,2024/2/15 13:34,34.3371779,132.9615081,
東京,株式会社JERA,GB583,富津火力発電所４号系列３軸,火力（ガス）,富津４－３軸,507000,出力低下,低下・設備故障,177000,2023/12/31 18:35,あり,2024/3/1,ガスタービン関連設備,2024/2/15 13:17,35.344627,139.8347731,
中部,株式会社JERA,48193,西名古屋火力発電所,火力（ガス）,７－２号機,1188200,出力低下,低下・その他,401000,2024/2/23 0:00,あり,2024/2/24,ボイラ関連設備,2024/2/15 9:37,35.0330542,136.8303509,
九州,日本製鉄株式会社,65739,日本製鉄㈱ 大分製鐵発電所 第9号発電設備,火力（石炭）,大分製鐵9号,330000,計画停止,停止・設備故障,,2024/2/15 10:30,あり,2024/2/20,EP出口煤塵濃度高めの為、  EP内部開放点検,2024/2/15 7:32,33.1589299,131.3611121,
中部,中山名古屋共同発電株式会社,46114,名古屋第二発電所,火力（石炭）,1号機,110000,計画停止,停止・その他,,2024/2/15 12:00,あり,2024/2/19,補器点検補修,2024/2/14 18:08,34.844052,136.926702,
東京,株式会社JERA,GB633,東扇島火力発電所１号機,火力（ガス）,東扇島１号,1000000,計画停止,停止・設備故障,,2024/2/7 22:00,あり,2024/2/14,タービン関連設備,2024/2/14 18:04,35.4984084,139.7579871,
北陸,北陸電力株式会社,52314,北陸電力 富山新港火力発電所,火力（ガス）,2号機,500000,計画停止,停止・設備故障,,2024/2/16 22:00,あり,2024/2/22,7B給水加熱器細管漏洩修理,2024/2/14 17:35,36.7627507,137.1269738,
九州,九州電力株式会社,97015,大平発電所,水力,２号機,250000,計画停止,停止・定期検査等,,2024/2/27 9:00,あり,2024/2/27,日常点検他,2024/2/14 16:45,32.4212723,130.6958582,
九州,九州電力株式会社,97015,大平発電所,水力,１号機,250000,計画停止,停止・その他,,2024/2/20 9:00,あり,2024/2/21,大平発電所　１号機入口弁下流シール配圧弁分解点検,2024/2/14 16:42,32.4212723,130.6958582,
九州,電源開発,950AB,電源開発松浦火力発電所,火力（石炭）,1号機,1000000,出力低下,低下・設備故障,350000,2024/2/17 9:00,あり,2024/2/17,当社管理番号：TTA-23－172  微粉炭機点検補修  最大抑制量：350000kW  最小抑制量：350000kW  平均抑制量：350000kW,2024/2/14 13:59,33.3534154,129.6919738,
